,state,gender,age,population,population_fraction,cumulative_fraction
91,Alaska,F,41,4053,1.6357667713647536e-05,0.001665350216798021
92,Alaska,F,42,3981,1.606707998224299e-05,0.0016814172967802641
93,Alaska,F,43,4153,1.6761261785042738e-05,0.001698178558565307
94,Alaska,F,44,4374,1.7653204682826134e-05,0.001715831763248133
95,Alaska,F,45,4544,1.8339314604197977e-05,0.001734171077852331
96,Alaska,F,46,4223,1.704377763501938e-05,0.0017512148554873503
97,Alaska,F,47,4037,1.6293092662224303e-05,0.0017675079481495747
98,Alaska,F,48,4248,1.714467615286818e-05,0.001784652624302443
99,Alaska,F,49,4249,1.714871209358213e-05,0.001801801336396025
100,Alaska,F,50,4613,1.8617794513460666e-05,0.0018204191309094857
101,Alaska,F,51,4597,1.8553219462037434e-05,0.0018389723503715232
102,Alaska,F,52,4892,1.974382197265328e-05,0.0018587161723441765
103,Alaska,F,53,4960,2.0018265941202017e-05,0.0018787344382853787
104,Alaska,F,54,4917,1.984472049050208e-05,0.0018985791587758807
105,Alaska,F,55,5079,2.0498542886162307e-05,0.001919077701662043
106,Alaska,F,56,4781,1.9295832553404605e-05,0.0019383735342154477
107,Alaska,F,57,4854,1.9590456225523103e-05,0.0019579639904409706
108,Alaska,F,58,4977,2.00868769333392e-05,0.00197805086737431
109,Alaska,F,59,4692,1.8936633829862876e-05,0.0019969875012041728
110,Alaska,F,60,4785,1.9311976316260413e-05,0.002016299477520433
111,Alaska,F,61,4443,1.7931684592088823e-05,0.002034231162112522
112,Alaska,F,62,4077,1.6454530290782384e-05,0.0020506856924033044
113,Alaska,F,63,3904,1.5756312547268685e-05,0.0020664420049505733
114,Alaska,F,64,3568,1.4400236467380807e-05,0.002080842241417954
115,Alaska,F,65,3387,1.3669731198155491e-05,0.0020945119726161095
116,Alaska,F,66,3145,1.2693033545379103e-05,0.0021072050061614884
117,Alaska,F,67,2884,1.1639653019037626e-05,0.002118844659180526
118,Alaska,F,68,2944,1.1881809461874747e-05,0.002130726468642401
119,Alaska,F,69,2170,8.757991349275883e-06,0.002139484459991677
120,Alaska,F,70,2143,8.649020949999178e-06,0.002148133480941676
121,Alaska,F,71,1892,7.635999830797221e-06,0.002155769480772473
122,Alaska,F,72,1865,7.527029431520517e-06,0.0021632965102039935
123,Alaska,F,73,1641,6.622978711595265e-06,0.0021699194889155888
124,Alaska,F,74,1453,5.864221857372285e-06,0.002175783710772961
125,Alaska,F,75,1373,5.5413466002561235e-06,0.0021813250573732173
126,Alaska,F,76,1136,4.584828651049494e-06,0.0021859098860242667
127,Alaska,F,77,1104,4.45567854820303e-06,0.0021903655645724696
128,Alaska,F,78,975,3.935042196103219e-06,0.002194300606768573
129,Alaska,F,79,915,3.692885753266098e-06,0.002197993492521839
130,Alaska,F,80,882,3.5596997097056815e-06,0.0022015531922315447
131,Alaska,F,81,752,3.035027416891919e-06,0.0022045882196484365
132,Alaska,F,82,749,3.022919594750063e-06,0.002207611139243187
133,Alaska,F,83,704,2.841302262622222e-06,0.0022104524415058092
134,Alaska,F,84,653,2.635469286210669e-06,0.00221308791079202
135,Alaska,F,85,3821,1.5421329468010667e-05,0.0022285092402600307
136,Alabama,M,18,31939,0.00012890391046291357,0.002357413150722944
137,Alabama,M,19,31410,0.00012676889782523295,0.002484182048548177
138,Alabama,M,20,32541,0.0001313335467727127,0.0026155155953208895
139,Alabama,M,21,33947,0.00013700807941652922,0.0027525236747374185
140,Alabama,M,22,34609,0.00013967987216916545,0.002892203546906584
141,Alabama,M,23,35660,0.00014392164585952903,0.003036125192766113
142,Alabama,M,24,35919,0.0001449669545044426,0.003181092147270556
143,Alabama,M,25,35543,0.00014344944079599663,0.0033245415880665524
