Location,Burrito,Date,Neighborhood,Hunger,Cost,chips?,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,beef/ carne asada,Pico,Guac,Cheese,Fries,sour cream,pork,chicken,Shrimp,fish,rice,beans,lettuce,tomato,bell pepper,carrots,cabbage,sauce,salsa,cilantro,onion,taquito,pineapple,ham,chile relleno,nopales/nopalitos,lobster,queso,egg,mushroom,bacon
Colima's Mexican Food,Bandido,3/3/2016,North park,4.5,6.49,No,3,5,4,4,5,4,2.5,4.5,4,4,Sage,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,
Colima's Mexican Food,Bandido,3/3/2016,North park,4.5,6.49,No,3,4.5,3.5,3.5,3.5,3,3,3,4,3,Eli,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,
Rigoberto's Taco Shop,Carne asada,3/8/2016,Miramar,3.5,6.6,No,4,2,4,3.5,4.5,4,3.5,4,1,4.25,Ricardo,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Campeon,3/8/2016,Miramar,3.5,7.65,No,3,1.5,3,3,2.5,3,3.5,2.5,4,3.4,Scott,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Raul's Mexican food,Chile verde pork,3/11/2016,Encinitas,3.5,5,No,2,,2.5,2,2,2,2,2.5,,2,Emily,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,
Raul's Mexican food,Carne asada,3/11/2016,Encinitas,1,5,No,2,,1,1,0.5,1,1.5,1,4,1,Scott,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,California,3/14/2016,University Heights,0.5,6.25,Yes,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,Kelsey,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,California chicken,3/14/2016,University Heights,3,6.25,Yes,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,Sage,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,Azteca,3/14/2016,University Heights,3.75,6.25,Yes,3,5,5,4.5,4,4,1.5,3,5,3,Jake,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,
El Zarape,Lobster,3/14/2016,University Heights,3,9.5,Yes,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,Scott,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x,,,,
El Indio,California,3/17/2016,San Diego,4,7.84,No,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,Scott,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Carne asada,3/18/2016,La Jolla,1,7.89,No,3,3.5,4.5,4,5,5,4.5,3.5,5,4.2,Scott,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Al pastor,3/18/2016,La Jolla,4,6.99,No,4,3,3.5,3,4,5,3,3.5,5,3.5,Emily,,,,,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,
"Qdoba Mexican Grill, Seatac Airport",Pulled pork,3/19/2016,Seattle,5,9.5,No,3,3,3.5,3,4,1,3,2.5,5,3,Sage,,x,x,x,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California,3/20/2016,Encinitas,4,6.99,Yes,4,4.5,4,3.5,4,2.5,2,4,4,4.2,Scott,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,Machaca,3/20/2016,Encinitas,3,5.99,Yes,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,Emily,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,
