Location,Burrito,Date,Neighborhood,Address,URL,Hunger,Cost,chips?,Length (cm),Circum (cm),Vol (L),Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec?,Notes,,,Reviewer,,beef/ carne asada,Pico,Guac,Cheese,Fries,sour cream,pork,chicken,Shrimp,fish,rice,beans,lettuce,tomato,bell pepper,carrots,cabbage,sauce,salsa,cilantro,onion,taquito,pineapple,ham,chile relleno,nopales/nopalitos,lobster,queso,egg,mushroom,bacon
Donato's taco shop,California ,1/18/2016,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3,6.49,,,,,3,5,3,3.5,4,4,4,4,4,3.8,,good fries: 4/5,,,Scott,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,California ,1/24/2016,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,5.45,,,,,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,,Fries: 3/5; too little meat,,,Scott,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,Carnitas,1/24/2016,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,1.5,4.85,,,,,3,2,2.5,3,4.5,4,3,3,5,3,,,,,Emily,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,Carne asada,1/24/2016,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,2,5.25,,,,,3,2,3.5,3,4,5,4,4,5,3.75,,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales,,,Ricardo,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollos Maria,California,1/27/2016,Carlsbad,3055 Harding St,http://pollosmaria.com/,4,6.59,x,,,,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,,,,,Scott,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollos Maria,combo chicken,1/28/2016,Carlsbad,3055 Harding St,http://pollosmaria.com/,4,6.99,x,,,,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,,,,,Emily,,,,x,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,
Nico's Taco Shop,California,1/30/2016,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,1.5,7.19,,,,,2,3,3,2,2.5,2.5,,2,3,2.6,,not fries. big potatoes,,,Scott,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Nico's Taco Shop,Carnitas,1/30/2016,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,4,6.99,,,,,2.5,3,3,2.5,3,3.5,,2.5,3,3,,,,,Emily,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Monster California,2/1/2016,UTC,7770 Regents Rd,http://www.primosmex.com/,3.5,9.25,x,,,,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,,this tasted really bad leftover. not included in rating,,,Scott,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
JV's,Carne Asada,2/6/2016,Morena,1112 Morena Blvd,http://jvsmexfood.com/,3.5,6.25,,,,,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,,,,,Scott,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
